Name,Threads,Optimization,Time,N
var714_parallel_task,1,Ofast,23.055266,4096
var714_parallel_task,1,O1,68.131271,4096
var714_parallel_task,1,O2,68.179201,4096
var714_parallel_task,1,O3,47.988929,4096
var714_parallel_task,2,O1,34.761956,4096
var714_parallel_task,2,O3,24.817633,4096
var714_parallel_task,2,O2,34.746661,4096
var714_parallel_task,2,O0,46.484692,4096
var714_parallel_task,2,Ofast,12.210102,4096
var714_parallel_task,3,Ofast,12.392977,4096
var714_parallel_task,3,O3,21.515619,4096
var714_parallel_task,3,O0,37.909264,4096
var714_parallel_task,3,O1,27.099732,4096
var714_parallel_task,3,O2,27.156591,4096
var714_parallel_task,4,O1,21.408262,4096
var714_parallel_task,4,O0,32.069641,4096
var714_parallel_task,4,O3,17.373034,4096
var714_parallel_task,4,Ofast,11.161556,4096
var714_parallel_task,4,O2,21.284979,4096
var714_parallel_task,5,O1,18.360072,4096
var714_parallel_task,5,O0,30.406776,4096
var714_parallel_task,5,O3,15.645835,4096
var714_parallel_task,5,O2,19.024277,4096
var714_parallel_task,5,Ofast,10.118185,4096
var714_parallel_task,6,O1,16.885340,4096
var714_parallel_task,6,O0,28.014101,4096
var714_parallel_task,6,O3,14.088075,4096
var714_parallel_task,6,O2,16.958647,4096
var714_parallel_task,6,Ofast,9.282721,4096
var714_parallel_task,7,O0,24.165181,4096
var714_parallel_task,7,O1,16.079022,4096
var714_parallel_task,7,O2,15.884136,4096
var714_parallel_task,7,O3,13.444269,4096
var714_parallel_task,7,Ofast,9.247293,4096
var714_parallel_task,8,Ofast,9.047344,4096
var714_parallel_task,8,O3,12.708115,4096
var714_parallel_task,8,O1,15.879136,4096
var714_parallel_task,8,O2,14.878019,4096
var714_parallel_task,8,O0,25.930025,4096
var714_parallel_task,9,O1,16.860818,4096
var714_parallel_task,9,O0,17.981546,4096
var714_parallel_task,9,Ofast,9.703031,4096
var714_parallel_task,9,O2,16.592747,4096
var714_parallel_task,9,O3,11.895940,4096
var714_parallel_task,10,Ofast,11.364396,4096
var714_parallel_task,10,O3,13.334002,4096
var714_parallel_task,10,O2,13.244502,4096
var714_parallel_task,10,O1,14.028892,4096
var714_parallel_task,10,O0,28.808970,4096
var714_parallel_task,20,O1,9.575255,4096
var714_parallel_task,20,O3,8.658517,4096
var714_parallel_task,20,O0,20.479493,4096
var714_parallel_task,20,O2,10.701210,4096
var714_parallel_task,20,Ofast,7.098439,4096
var714_parallel_task,40,O0,11.031522,4096
var714_parallel_task,40,O2,9.769277,4096
var714_parallel_task,40,O3,11.001464,4096
var714_parallel_task,40,Ofast,12.804917,4096
var714_parallel_task,40,O1,10.356344,4096
var714_parallel_task,60,O3,14.042164,4096
var714_parallel_task,60,O1,14.509051,4096
var714_parallel_task,60,Ofast,16.622625,4096
var714_parallel_task,60,O0,7.076126,4096
var714_parallel_task,60,O2,13.972727,4096
var714_parallel_task,80,O0,19.805108,4096
var714_parallel_task,80,O3,36.580570,4096
var714_parallel_task,80,Ofast,15.903256,4096
var714_parallel_task,80,O2,37.442977,4096
var714_parallel_task,80,O1,20.810852,4096
var714_parallel_task,100,O1,40.618830,4096
var714_parallel_task,100,O0,45.261065,4096
var714_parallel_task,100,Ofast,51.898657,4096
var714_parallel_task,100,O2,50.505713,4096
var714_parallel_task,100,O3,54.549509,4096
var714_parallel_task,120,O0,68.482882,4096
var714_parallel_task,120,Ofast,66.525046,4096
var714_parallel_task,120,O2,69.890668,4096
var714_parallel_task,120,O3,70.978008,4096
var714_parallel_task,120,O1,67.899294,4096
var714_parallel_task,140,O3,87.033525,4096
var714_parallel_task,140,O1,92.726400,4096
var714_parallel_task,140,Ofast,85.343168,4096
var714_parallel_task,140,O2,84.145681,4096
var714_parallel_task,140,O0,78.707423,4096
var714,1,O0,25.210000,2048
var714,1,O3,8.630000,2048
var714,1,O2,11.190000,2048
var714,1,O1,11.410000,2048
var714,1,Ofast,5.270000,2048
var714,2,Ofast,5.160000,2048
var714,2,O1,11.490000,2048
var714,2,O2,11.220000,2048
var714,2,O0,25.330000,2048
var714,2,O3,8.670000,2048
var714,3,Ofast,5.170000,2048
var714,3,O2,11.250000,2048
var714,3,O0,25.680000,2048
var714,3,O3,8.720000,2048
var714,3,O1,11.510000,2048
var714,4,Ofast,5.220000,2048
var714,4,O1,11.720000,2048
var714,4,O0,25.520000,2048
var714,4,O2,11.280000,2048
var714,4,O3,8.670000,2048
var714,5,O1,11.500000,2048
var714,5,O2,11.330000,2048
var714,5,Ofast,5.320000,2048
var714,5,O0,25.740000,2048
var714,5,O3,8.770000,2048
var714,6,O3,8.760000,2048
